dist,n,trial,time_ms,comparisons,swaps,accesses
sorted,100000,3,2182,4999950000,99982,10000299928
reverse,100,1,0,4950,96,10284
reverse,100,2,0,4950,94,10276
reverse,100,3,0,4950,93,10272
reverse,1000,1,3,499500,994,1002976
reverse,1000,2,0,499500,992,1002968
reverse,1000,3,0,499500,991,1002964
reverse,10000,1,40,49995000,9991,100029964
reverse,10000,2,36,49995000,9989,100029956
reverse,10000,3,35,49995000,9988,100029952
reverse,100000,1,3588,4999950000,99987,10000299948
reverse,100000,2,3561,4999950000,99988,10000299952
reverse,100000,3,2142,4999950000,99991,10000299964
nearly,100,1,0,4950,97,10288
nearly,100,2,0,4950,93,10272
nearly,100,3,0,4950,94,10276
nearly,1000,1,3,499500,992,1002968
nearly,1000,2,1,499500,990,1002960
nearly,1000,3,0,499500,993,1002972
nearly,10000,1,39,49995000,9991,100029964
nearly,10000,2,36,49995000,9989,100029956
nearly,10000,3,31,49995000,9981,100029924
nearly,100000,1,3573,4999950000,99992,10000299968
nearly,100000,2,3579,4999950000,99990,10000299960
nearly,100000,3,2135,4999950000,99990,10000299960
random,100,1,0,4950,95,10280
random,100,2,0,4950,94,10276
random,100,3,0,4950,95,10280
random,1000,1,3,499500,993,1002972
random,1000,2,1,499500,994,1002976
random,1000,3,0,499500,991,1002964
random,10000,1,40,49995000,9992,100029968
random,10000,2,38,49995000,9989,100029956
random,10000,3,28,49995000,9985,100029940
random,100000,1,3660,4999950000,99993,10000299972
random,100000,2,3558,4999950000,99983,10000299932
random,100000,3,2115,4999950000,99992,10000299968
sorted,100,1,0,4950,95,10280
sorted,100,2,0,4950,97,10288
sorted,100,3,0,4950,93,10272
sorted,1000,1,4,499500,988,1002952
sorted,1000,2,1,499500,992,1002968
sorted,1000,3,0,499500,993,1002972
sorted,10000,1,39,49995000,9991,100029964
sorted,10000,2,35,49995000,9987,100029948
sorted,10000,3,34,49995000,9988,100029952
sorted,100000,1,3632,4999950000,99991,10000299964
sorted,100000,2,3561,4999950000,99987,10000299948
sorted,100000,3,2174,4999950000,99986,10000299944
reverse,100,1,0,4950,93,10272
reverse,100,2,0,4950,94,10276
reverse,100,3,0,4950,95,10280
reverse,1000,1,3,499500,986,1002944
reverse,1000,2,0,499500,995,1002980
reverse,1000,3,0,499500,993,1002972
reverse,10000,1,39,49995000,9985,100029940
reverse,10000,2,35,49995000,9990,100029960
reverse,10000,3,21,49995000,9991,100029964
reverse,100000,1,3567,4999950000,99990,10000299960
reverse,100000,2,3578,4999950000,99986,10000299944
reverse,100000,3,2115,4999950000,99993,10000299972
nearly,100,1,0,4950,95,10280
nearly,100,2,0,4950,93,10272
nearly,100,3,0,4950,90,10260
nearly,1000,1,3,499500,991,1002964
nearly,1000,2,1,499500,995,1002980
nearly,1000,3,0,499500,988,1002952
nearly,10000,1,39,49995000,9989,100029956
nearly,10000,2,35,49995000,9995,100029980
nearly,10000,3,28,49995000,9994,100029976
nearly,100000,1,3567,4999950000,99987,10000299948
nearly,100000,2,3561,4999950000,99987,10000299948
nearly,100000,3,2113,4999950000,99988,10000299952
random,100,1,0,4950,93,10272
random,100,2,0,4950,92,10268
random,100,3,0,4950,97,10288
random,1000,1,3,499500,994,1002976
random,1000,2,1,499500,991,1002964
random,1000,3,0,499500,992,1002968
random,10000,1,39,49995000,9985,100029940
random,10000,2,36,49995000,9983,100029932
random,10000,3,31,49995000,9984,100029936
random,100000,1,3607,4999950000,99987,10000299948
random,100000,2,3569,4999950000,99988,10000299952
random,100000,3,2113,4999950000,99992,10000299968
sorted,100,1,0,4950,94,10276
sorted,100,2,0,4950,95,10280
sorted,100,3,0,4950,96,10284
sorted,1000,1,3,499500,995,1002980
sorted,1000,2,1,499500,992,1002968
sorted,1000,3,0,499500,992,1002968
sorted,10000,1,39,49995000,9993,100029972
sorted,10000,2,36,49995000,9993,100029972
sorted,10000,3,27,49995000,9993,100029972
sorted,100000,1,3560,4999950000,99982,10000299928
sorted,100000,2,3563,4999950000,99984,10000299936
sorted,100000,3,2116,4999950000,99994,10000299976
reverse,100,1,0,4950,97,10288
reverse,100,2,0,4950,96,10284
reverse,100,3,0,4950,90,10260
reverse,1000,1,4,499500,988,1002952
reverse,1000,2,1,499500,992,1002968
reverse,1000,3,0,499500,994,1002976
reverse,10000,1,40,49995000,9991,100029964
reverse,10000,2,36,49995000,9989,100029956
reverse,10000,3,22,49995000,9993,100029972
reverse,100000,1,3563,4999950000,99990,10000299960
reverse,100000,2,3563,4999950000,99980,10000299920
reverse,100000,3,2113,4999950000,99985,10000299940
nearly,100,1,0,4950,96,10284
nearly,100,2,0,4950,94,10276
nearly,100,3,0,4950,96,10284
nearly,1000,1,3,499500,995,1002980
nearly,1000,2,1,499500,995,1002980
nearly,1000,3,0,499500,992,1002968
nearly,10000,1,39,49995000,9991,100029964
nearly,10000,2,36,49995000,9992,100029968
nearly,10000,3,33,49995000,9989,100029956
nearly,100000,1,3586,4999950000,99984,10000299936
nearly,100000,2,3561,4999950000,99993,10000299972
