n,nearly,random,reverse,sorted
100,0.0,0.0,0.0,0.0
1000,1.3703703703703705,1.4516129032258065,1.4333333333333333,1.4666666666666666
10000,33.851851851851855,33.7,34.0,34.766666666666666
100000,3100.0,3106.866666666667,3104.703703703704,3111.133333333333
